blockNum,timestamp,TxHash,origin,SENDER,from_token,to_token,quantity_in,quantity_out
13916496,2022-01-01T01:09:05Z,0x63de9199ebfe0ce060f883f8a415678e4111993dea5cbf5e5edd41c6fbde351e,0x5b94C1102096FB49202Bb2f62F46dE6c91628D6d,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,2.9593312332640185,11000.0
13916496,2022-01-01T01:09:05Z,0xa792db4400e69c9c501be1996c4300d2002c8a2ecde98a199762bfa6f7f32abb,0x45CB390C7f2E46710856c0Bd0B7944Dee1c42a15,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,USDC,WETH,2457.65,0.6605347117427353
13916496,2022-01-01T01:09:05Z,0x3daa2c894a4a636f79ca17d3d182feb935c20d119f6903294653ed5f70c241e2,0x439F9eBAb82692ef8fed76b6b139A8161795514C,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,USDC,WETH,92932.955292,24.971439355924897
13916497,2022-01-01T01:09:27Z,0xf6544917a15ccdd516fcda691ba8dd4350d2dabc502daa23854be074ac4a674a,0xBEF1BCdf936717f2d9B2e77F9a91da5D483EC2b7,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,150.0,0.04029635520848961
13916498,2022-01-01T01:09:38Z,0xe1509b389feb83ce304d41cc599f57f39efab4c4ad00adf8a4b965231f199685,0x98f5B98Feb4a238C2d7550b4bb2c22d9D315335f,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,30.43,113128.604305
13916499,2022-01-01T01:10:06Z,0x363544f59455f45f847909489d2e2f98dbecf2480968ee62db022e5b0d4a38b8,0xC4A675c5041e9687768CE154554D6cdDd2540712,0xE592427A0AEce92De3Edee1F18E0157C05861564,USDC,WETH,229432.803219,61.63489006062959
13916499,2022-01-01T01:10:06Z,0xc886046f17ceb80f82ff11ea916a7fad54c84c22c015ea3aeb90644ba9476889,0xfDfEEBC8322BF07Ef9209fE837be8F08D29a04B8,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,33630.0,9.028536017095556
13916499,2022-01-01T01:10:06Z,0x29950ac3b90408b55c680c830b47bb3365f559a66f7f30b4d775091862e316b0,0x72892fF2c572F7046A4BE06FeC8A8831492281b7,0x1111111254fb6c44bAC0beD2854e76F90643097d,USDC,WETH,36099.129082,9.689755666196781
13916501,2022-01-01T01:10:32Z,0x6fc0d483462cba4b051f3843739ccf6a02c6d7ea211674ded3fdfef4d3f0b4e2,0x8d7c9AE01050a31972ADAaFaE1A4D682F0f5a5Ca,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,0.3198616277901496,1190.553362
13916502,2022-01-01T01:10:52Z,0xf889c8f702e61f2a687df5e72a3f490eabd6979178ff833ecfdb37cce31f77c0,0xA335ADE338308B8e071Cf2c8F3cA5e50F6563C60,0x1111111254fb6c44bAC0beD2854e76F90643097d,WETH,USDC,0.9608368743106246,3576.278226
13916503,2022-01-01T01:11:00Z,0xbee63e17e1f913e91b31f1e6b3df6a57e447bd2aec55128a4d5522874d5d8352,0xe459A56BF8B951bC809D7dc3347A76Eb6875D163,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,USDC,WETH,2504.380431,0.672179721593754
13916504,2022-01-01T01:11:17Z,0x751fe5e7b7d85cc7c9aba456342c53372875442c41aed03886a4add402a5730c,0x583cD88b9D7926357FE6bddF0E8950557fcDA0Ca,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,4948.29333,1.3281055564837345
13916504,2022-01-01T01:11:17Z,0x44a6f96efcb57f8a657041430546239955027a255ff89a8f0409f9b64cb3b14b,0x439F9eBAb82692ef8fed76b6b139A8161795514C,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,WETH,USDC,20.0,74429.361575
13916507,2022-01-01T01:11:47Z,0xf2e20eef5da2533b57b905d4fa4c75640bd63158d173fa374c764c8fd430509b,0x408e92fc105698A76d05c67787A5D5D4CAc19869,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,USDC,WETH,150014.956538,40.26292315684348
